prime,cutoff,prefix_mean_exact,sample_prefix_standard_deviation_exact
59,8000,4.4998852219350374,0.077519987563125642
61,50,4.2972114514255404,0.45372412865083878
61,250,4.4303655864581728,0.26938842804682339
61,500,4.4650914015049077,0.20957105439980836
61,1000,4.4807073110725746,0.15934866602129594
61,2000,4.4895001972891304,0.11995412581170298
61,4000,4.4947823982594945,0.089722129591161062
61,8000,4.4972793898154784,0.066677261501598598
67,50,4.3441459163526845,0.77545262681667371
67,250,4.4815758176885865,0.38981225298840844
67,500,4.4849292021485487,0.28718889269869224
67,1000,4.4920599758264386,0.20952891508639895
67,2000,4.4955622668572222,0.15331329254182546
67,4000,4.4971028391357049,0.11189520077305293
67,8000,4.498164842256946,0.081487874170787095
71,50,4.169806583755288,0.53791094831385067
71,250,4.4472691088921641,0.3254502912337266
71,500,4.4725974171748755,0.24559395369906656
71,1000,4.484963903534906,0.1827818661939008
71,2000,4.4913144220562726,0.13499573490537781
71,4000,4.4958390296036752,0.099445357399358114
71,8000,4.4979288376770477,0.073072797275846105
73,50,4.5514454436918497,0.44754658695121574
73,250,4.495306384014266,0.25826758298984814
73,500,4.499373403919515,0.20055998744947084
73,1000,4.5000186927483208,0.15263586604403911
73,2000,4.501325241805489,0.11495970823270692
73,4000,4.501164539194602,0.085833085969390294
73,8000,4.5003661056389479,0.063763523102508476
79,50,4.5729670227908708,0.66378078977316601
79,250,4.5009656272236329,0.33943843673082302
79,500,4.4995724616187438,0.252941165036555
79,1000,4.4969891822869883,0.18629746211341794
79,2000,4.498033720400139,0.13712542683043133
79,4000,4.4986280296535126,0.10061957381600732
79,8000,4.4997794876228898,0.073777168686760014
83,50,4.4592392871840509,0.69852738153790594
83,250,4.4780492244408894,0.35679720442018531
83,500,4.485813903827828,0.26298608912489979
83,1000,4.4910158422885491,0.19325128264935379
83,2000,4.4946028183157116,0.14221431100486007
83,4000,4.4977689802409913,0.10419642209886429
83,8000,4.4985583427164428,0.076192729475645482
89,50,4.6151483712717596,0.7539585666420705
89,250,4.5072223275420065,0.37567540287444007
89,500,4.5033336776774533,0.27523184478042168
89,1000,4.4993059313519135,0.20224770007877033
89,2000,4.4994910951479685,0.14790077425544265
89,4000,4.4990725076474796,0.10806154148477182
89,8000,4.4989587368130914,0.078770542798387799
97,50,4.6588486728185492,0.64480643840136587
97,250,4.5206216145525291,0.33291733558354702
97,500,4.5122741597162319,0.24571968607260838
97,1000,4.5053072963271603,0.18225037405993466
97,2000,4.5016124812494978,0.13426713477996902
97,4000,4.5011470819455841,0.09855619649613577
97,8000,4.5006909061166693,0.072201701276944683
101,50,3.7862853593072052,1.0703908437459666
101,250,4.3497263148191356,0.57755508226229957
101,500,4.4145603750325124,0.42037584702870129
101,1000,4.4537690245407768,0.30426580328355257
101,2000,4.4742670349912173,0.21956201422374244
101,4000,4.4859704300844072,0.15794824043021954
101,8000,4.4924439397054927,0.11342863504248116
103,50,4.2958000593135699,0.60863264778567161
103,250,4.44534979057096,0.32196172242804921
103,500,4.472343852657513,0.24147962512435306
